project,loc,intialcommitdate,recentdate,activedevs,totaldevs,yearcount,age,bugcount,vulnerabilities,bd,vulns,cocomo
tar,23003,11/1/1990,4/14/2016,6,26,24,25,164,1,1,1,67.2688049
tcpd,230182,8/19/2013,3/6/2016,1,3,4,2,1,0,1,0,755.292089
traceroute,10498,10/21/2014,9/18/2015,1,2,2,1,1,0,1,0,29.51901798
tzdata,35,2/2/1993,10/31/2011,0,1,19,23,25,0,1,0,0.07399654719
udev,23471,4/26/2005,3/29/2012,0,251,10,10,26,0,1,0,68.70655635
vim,498497,6/13/2004,4/23/2016,1,1,13,11,211,0,1,0,1700.143914
vlc,564072,8/8/1999,4/23/2016,93,828,18,16,2299,1,1,1,1935.714388
xauth,1063,4/28/2010,5/31/2010,0,1,1,5,1,0,1,0,2.665630423
xfdesktop,21050,1/15/2003,3/29/2016,63,244,14,13,42,0,1,0,61.28507386
xkb,30657,1/13/2009,4/19/2016,4,31,8,7,110,0,1,0,90.9486266
xorg-server,419162,11/19/1999,12/28/2015,91,651,17,16,1849,1,1,1,1417.232189
xz,27430,12/9/2007,4/10/2016,3,15,10,8,,1,0,1,80.92395626
